make;model;priceUSD;mileage(kilometers);fuel_type;volume(cm3);segment;length;width;columna_fecha
mazda;2;5500;162000.0;petrol;1500.0;B;6.3999999999999915;2.0;05/01/2016
mazda;2;5350;120000.0;petrol;1300.0;B;7.599999999999987;2.2;28/12/2021
mazda;2;7000;61000.0;petrol;1500.0;B;7.899999999999986;2.1000000000000005;30/01/2020
mazda;2;3300;265000.0;diesel;1400.0;B;4.299999999999999;1.9000000000000001;30/11/2020
mazda;2;5200;97183.0;diesel;1400.0;B;6.299999999999992;1.8;28/04/2015
mazda;2;3400;150000.0;petrol;1300.0;B;6.599999999999991;2.4000000000000004;31/07/2015
mazda;2;5000;112000.0;petrol;1300.0;B;5.499999999999995;2.3000000000000007;26/09/2018
mazda;2;7300;95000.0;petrol;1500.0;B;5.899999999999993;2.3000000000000007;26/05/2015
mazda;2;6400;93804.0;petrol;1500.0;B;7.399999999999988;1.7;27/08/2018
mazda;2;6132;196511.0;petrol;1500.0;B;6.89999999999999;1.8;16/07/2017
mazda;2;5200;98000.0;diesel;1500.0;B;4.9999999999999964;2.1000000000000005;20/07/2019
mazda;2;3299;314000.0;diesel;1400.0;B;6.199999999999992;2.0;13/08/2015
mazda;2;5400;150000.0;diesel;1400.0;B;5.599999999999994;2.4000000000000004;07/10/2018
mazda;2;6850;147000.0;petrol;1500.0;B;4.399999999999999;1.8;14/03/2019
mazda;2;5300;118000.0;diesel;1400.0;B;6.599999999999991;2.1000000000000005;23/01/2016
mazda;2;5670;148000.0;diesel;1400.0;B;4.9999999999999964;2.3000000000000007;06/10/2019
mazda;2;5950;102860.0;petrol;1500.0;B;5.499999999999995;1.8;15/08/2019
mazda;2;3500;191000.0;diesel;1400.0;B;5.099999999999996;2.1000000000000005;08/09/2021
mazda;2;5600;83168.0;petrol;1300.0;B;5.099999999999996;1.9000000000000001;12/03/2015
mazda;2;5200;104500.0;petrol;1500.0;B;6.499999999999991;2.0;25/03/2018
mazda;2;3300;220754.0;petrol;1300.0;B;5.699999999999994;2.0;05/07/2016
mazda;2;6500;86000.0;petrol;1300.0;B;4.6999999999999975;2.4000000000000004;14/08/2015
mazda;2;3200;210000.0;petrol;1400.0;B;6.199999999999992;1.8;15/11/2018
mazda;2;5300;108000.0;petrol;1300.0;B;6.199999999999992;2.0;10/10/2015
mazda;2;3550;200000.0;petrol;1300.0;B;5.499999999999995;1.8;26/09/2016
mazda;3;9800;83600.0;petrol;1600.0;C;4.1;1.8;03/06/2015
mazda;3;4200;340000.0;diesel;1600.0;C;4.799999999999997;2.3000000000000007;23/11/2021
mazda;3;8300;132500.0;petrol;1600.0;C;7.499999999999988;2.3000000000000007;14/04/2015
mazda;3;7500;173808.72;petrol;2000.0;C;6.999999999999989;2.0;25/02/2016
mazda;3;5800;180000.0;petrol;1600.0;C;4.9999999999999964;2.4000000000000004;17/11/2019
mazda;3;5500;137000.0;petrol;1600.0;C;6.79999999999999;2.1000000000000005;21/09/2020
mazda;3;6300;110000.0;petrol;1600.0;C;5.999999999999993;1.7;09/01/2020
mazda;3;6700;171000.0;petrol;1600.0;C;6.69999999999999;2.2;24/07/2021
mazda;3;6700;228000.0;petrol;2000.0;C;6.199999999999992;2.0;30/11/2020
mazda;3;4650;151000.0;petrol;1600.0;C;4.899999999999997;1.8;03/07/2019
mazda;3;4754;220000.0;petrol;1600.0;C;6.79999999999999;2.4000000000000004;19/05/2021
mazda;3;7350;153000.0;petrol;1600.0;C;7.099999999999989;2.1000000000000005;04/11/2018
mazda;3;4750;139.0;petrol;2000.0;C;5.599999999999994;1.8;07/11/2020
mazda;3;4300;241401.0;petrol;2300.0;C;7.699999999999987;2.0;30/07/2016
mazda;3;4600;349226.78;petrol;2000.0;C;6.599999999999991;1.7;07/11/2021
mazda;3;11950;105000.0;petrol;1600.0;C;4.299999999999999;2.2;26/02/2020
mazda;3;5450;185000.0;petrol;1600.0;C;4.9999999999999964;1.8;29/07/2021
mazda;3;5900;141000.0;petrol;1600.0;C;5.799999999999994;2.2;17/07/2021
mazda;3;6000;200000.0;petrol;2300.0;C;7.899999999999986;1.8;03/07/2020
mazda;3;4999;276000.0;diesel;1600.0;C;5.099999999999996;2.1000000000000005;06/05/2017
mazda;3;5800;144000.0;petrol;1600.0;C;6.599999999999991;1.7;29/08/2015
mazda;3;6800;181200.0;petrol;1600.0;C;4.0;1.9000000000000001;30/03/2019
mazda;3;6200;203000.0;petrol;1600.0;C;6.79999999999999;1.7;03/09/2016
mazda;3;11500;67000.0;petrol;1600.0;C;5.899999999999993;2.1000000000000005;20/06/2019
mazda;3;5300;190000.0;petrol;1600.0;C;4.199999999999999;1.9000000000000001;16/10/2017
mazda;3;9000;115000.0;petrol;2000.0;C;6.999999999999989;2.0;09/10/2019
mazda;3;5555;200000.0;petrol;1600.0;C;4.299999999999999;2.2;15/01/2016
mazda;3;5100;187000.0;petrol;2000.0;C;4.1;1.9000000000000001;21/04/2021
mazda;3;9510;130000.0;petrol;2000.0;C;6.89999999999999;1.7;16/10/2019
mazda;3;1000;123456.0;diesel;1500.0;C;7.699999999999987;2.1000000000000005;12/06/2019
mazda;3;5279;302555.92;petrol;2000.0;C;6.69999999999999;1.9000000000000001;09/07/2021
mazda;3;6100;188000.0;petrol;1600.0;C;7.699999999999987;2.2;11/09/2020
mazda;3;13000;60000.0;petrol;1500.0;C;5.899999999999993;1.7;16/01/2017
mazda;3;10700;132000.0;petrol;2000.0;C;6.299999999999992;1.7;22/11/2016
mazda;3;11999;120000.0;petrol;1600.0;C;4.899999999999997;2.2;08/04/2019
mazda;3;5400;175500.0;petrol;2000.0;C;4.9999999999999964;2.4000000000000004;10/03/2018
mazda;3;13650;80000.0;petrol;1600.0;C;6.299999999999992;2.3000000000000007;10/12/2019
mazda;3;6100;290000.0;petrol;2000.0;C;7.199999999999989;1.8;28/09/2021
mazda;3;4900;274500.0;petrol;1600.0;C;7.299999999999988;2.1000000000000005;06/11/2021
mazda;3;5400;288894.0;petrol;1600.0;C;5.499999999999995;1.8;06/12/2017
mazda;3;8300;178000.0;petrol;1600.0;C;7.499999999999988;1.7;16/01/2015
mazda;3;4500;140000.0;petrol;2000.0;C;7.7999999999999865;1.8;14/09/2017
mazda;3;5000;180814.17702;petrol;2000.0;C;5.199999999999996;1.7;01/01/2020
mazda;3;7500;120000.0;petrol;2000.0;C;4.599999999999998;1.7;29/08/2018
mazda;3;5514;207000.0;petrol;1600.0;C;7.499999999999988;2.2;12/04/2021
mazda;3;10200;160000.0;petrol;1600.0;C;6.0999999999999925;2.4000000000000004;19/07/2016
mazda;3;6600;143500.0;petrol;1600.0;C;4.399999999999999;2.0;29/09/2017
mazda;3;5299;365000.0;diesel;1600.0;C;4.9999999999999964;1.9000000000000001;23/12/2020
mazda;3;3500;184192.0;petrol;1600.0;C;4.599999999999998;1.9000000000000001;15/06/2019
mazda;3;12900;127000.0;petrol;1600.0;C;5.699999999999994;1.8;02/09/2015
mazda;3;5500;250000.0;petrol;2000.0;C;5.299999999999995;1.9000000000000001;04/09/2016
mazda;3;4100;257494.4;petrol;2300.0;C;6.3999999999999915;2.0;02/06/2020
